"Var1"	"Var2"	"weight"
"466"	"ph_2087"	"AACY020481938"	0.876491655568315
"467"	"ph_2117"	"AACY020481938"	0.805073795059553
"468"	"ph_2231"	"AACY020481938"	0.812629061473745
"469"	"ph_2346"	"AACY020481938"	0.915479154419919
"470"	"ph_2363"	"AACY020481938"	0.801881004866151
"471"	"ph_2773"	"AACY020481938"	0.878098072911294
"472"	"ph_2775"	"AACY020481938"	0.934895692057874
"473"	"ph_2798"	"AACY020481938"	0.822059689095128
"474"	"ph_3201"	"AACY020481938"	0.846712791139023
"475"	"ph_3217"	"AACY020481938"	0.824673137522023
"476"	"ph_3233"	"AACY020481938"	0.811239900958445
"477"	"ph_3336"	"AACY020481938"	0.850940563156469
"478"	"ph_3368"	"AACY020481938"	0.869911762655705
"479"	"ph_3493"	"AACY020481938"	0.810917309967214
"480"	"ph_3530"	"AACY020481938"	0.891548425462728
